정류장번호,정류장명,위도,경도,정보수집일,모바일단축번호,도시코드,도시명,관리도시명
KUB352000983,안강파출소,35.99231667,129.2240833,2025-10-31,5212,37020,경상북도 경주시,경주BIS
KUB352000984,백년예식장,35.991666,129.227115,2025-10-31,5128,37020,경상북도 경주시,경주BIS
KUB352000985,안강사거리,35.991392,129.229752,2025-10-31,5203,37020,경상북도 경주시,경주BIS
KUB352000986,양동마을입구,35.98850146,129.2560267,2025-10-31,5223,37020,경상북도 경주시,경주BIS
KUB352000987,인동,35.98538333,129.26165,2025-10-31,5273,37020,경상북도 경주시,경주BIS
KUB352000988,강동,35.98742,129.274671,2025-10-31,5024,37020,경상북도 경주시,경주BIS
KUB352000989,오금1리,35.981821,129.258918,2025-10-31,5231,37020,경상북도 경주시,경주BIS
KUB352000990,호명,35.97063333,129.2478833,2025-10-31,5319,37020,경상북도 경주시,경주BIS
KUB352000991,모서1리,35.95109896,129.2466064,2025-10-31,5110,37020,경상북도 경주시,경주BIS
KUB352000992,모서2리,35.94725225,129.2474439,2025-10-31,5113,37020,경상북도 경주시,경주BIS
KUB352000993,오야2리,35.93913333,129.2479333,2025-10-31,5247,37020,경상북도 경주시,경주BIS
KUB352000994,오야1리,35.93295,129.24775,2025-10-31,5245,37020,경상북도 경주시,경주BIS
KUB352000995,모아,35.92496667,129.2463,2025-10-31,5115,37020,경상북도 경주시,경주BIS
KUB352000996,모아초등학교.양지아파트,35.91963534,129.2451013,2025-10-31,5118,37020,경상북도 경주시,경주BIS
KUB352000997,신당1리입구,35.89980906,129.2409486,2025-10-31,5182,37020,경상북도 경주시,경주BIS
KUB352000998,신당2리.신라공고,35.89313333,129.2382667,2025-10-31,5184,37020,경상북도 경주시,경주BIS
KUB352000999,제일자동차학원,35.884934,129.232859,2025-10-31,5278,37020,경상북도 경주시,경주BIS
KUB352001000,신리마을,35.882349,129.230858,2025-10-31,1231,37020,경상북도 경주시,경주BIS
KUB352001001,IM뱅크용강지점,35.876875,129.22797,2025-10-31,1084,37020,경상북도 경주시,경주BIS
KUB352001002,용강초등학교,35.875468,129.22875,2025-10-31,1276,37020,경상북도 경주시,경주BIS
KUB352001003,근화여고,35.873294,129.22766,2025-10-31,1062,37020,경상북도 경주시,경주BIS
KUB352001004,농업기술센터,35.866937,129.224266,2025-10-31,1272,37020,경상북도 경주시,경주BIS
KUB352001005,대신아파트.르노삼성경주전시장,35.863522,129.222078,2025-10-31,1089,37020,경상북도 경주시,경주BIS
KUB352001006,황성공원.시립도서관,35.859546,129.220412,2025-10-31,1381,37020,경상북도 경주시,경주BIS
KUB352001007,경주고용센터,35.856322,129.219343,2025-10-31,1010,37020,경상북도 경주시,경주BIS
KUB352001008,경주교.신라중학교,35.85348333,129.2184,2025-10-31,1013,37020,경상북도 경주시,경주BIS
KUB352001009,세무서.큰마디병원,35.848982,129.217329,2025-10-31,1211,37020,경상북도 경주시,경주BIS
KUB352001010,성동시장 동편,35.845585,129.21743,2025-10-31,1028,37020,경상북도 경주시,경주BIS
KUB352001011,중앙시장,35.844609,129.205913,2025-10-31,1307,37020,경상북도 경주시,경주BIS
KUB352001012,청년회의소,35.844681,129.202891,2025-10-31,1322,37020,경상북도 경주시,경주BIS
KUB352001013,보우주택,35.843837,129.20061,2025-10-31,1148,37020,경상북도 경주시,경주BIS
KUB352001014,왕산마을,35.87476726,129.3204343,2025-10-31,1261,37020,경상북도 경주시,경주BIS
KUB352001015,암곡마을,35.86193333,129.3141833,2025-10-31,1243,37020,경상북도 경주시,경주BIS
KUB352001016,새동네,35.8541,129.30435,2025-10-31,1182,37020,경상북도 경주시,경주BIS
KUB352001018,아동,35.80937663,129.2859988,2025-10-31,1236,37020,경상북도 경주시,경주BIS
KUB352001020,상리마을.변전소,35.846997,129.2416,2025-10-31,1179,37020,경상북도 경주시,경주BIS
KUB352001021,성동시장 동편,35.845994,129.217118,2025-10-31,1029,37020,경상북도 경주시,경주BIS
KUB352001022,세무서,35.850913,129.217164,2025-10-31,1212,37020,경상북도 경주시,경주BIS
KUB352001023,경주교.신라중학교,35.853485,129.218057,2025-10-31,1012,37020,경상북도 경주시,경주BIS
KUB352001024,굿모닝병원.서라벌여중,35.856118,129.218944,2025-10-31,1191,37020,경상북도 경주시,경주BIS
KUB352001025,황성공원.시립도서관,35.8597,129.220129,2025-10-31,1382,37020,경상북도 경주시,경주BIS
KUB352001026,용황초등학교.르노삼성경주전시장,35.864708,129.222255,2025-10-31,1277,37020,경상북도 경주시,경주BIS
KUB352001027,용강사거리,35.866818,129.223139,2025-10-31,1271,37020,경상북도 경주시,경주BIS
KUB352001028,근화여고,35.871736,129.225413,2025-10-31,1061,37020,경상북도 경주시,경주BIS
KUB352001029,용강동대성주유소,35.876744,129.227457,2025-10-31,1269,37020,경상북도 경주시,경주BIS
KUB352001030,제일자동차학원,35.885386,129.232902,2025-10-31,5277,37020,경상북도 경주시,경주BIS
KUB352001031,신당2리.신라공고,35.89318333,129.23815,2025-10-31,5185,37020,경상북도 경주시,경주BIS
KUB352001032,신라공고정문,35.89006667,129.2415,2025-10-31,5190,37020,경상북도 경주시,경주BIS
KUB352001033,천북신당리,35.89246312,129.2471653,2025-10-31,5169,37020,경상북도 경주시,경주BIS
KUB352001034,신당3리입구,35.90008333,129.2570333,2025-10-31,5188,37020,경상북도 경주시,경주BIS
KUB352001035,농협창고앞,35.89688333,129.26575,2025-10-31,5077,37020,경상북도 경주시,경주BIS
KUB352001036,천북.동산,35.89559586,129.2678562,2025-10-31,5287,37020,경상북도 경주시,경주BIS
KUB352001037,동산2리.새각단,35.89336667,129.2660833,2025-10-31,5099,37020,경상북도 경주시,경주BIS
KUB352001038,덕산마을,35.88636667,129.2656833,2025-10-31,5095,37020,경상북도 경주시,경주BIS
KUB352001039,갈곡입구,35.88628616,129.275779,2025-10-31,5014,37020,경상북도 경주시,경주BIS
